COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE,DECAYED
GENERATED VIA SPACETRACK.ORG API,18 SPCS,29055,ASTRA 1KR,PAYLOAD,U,06012A,2024-03-04 21:04:42,526272,1.00269697,0.0002929,0.0775,281.1288,11.7185,205.6169,0,999,3735,0,0.00000123,0,4208633,0 ASTRA 1KR,1 29055U 06012A   24064.87826998  .00000123  00000-0  00000-0 0  9999,2 29055   0.0775 281.1288 0002929  11.7185 205.6169  1.00269697 37354,2006-012A,29055,42165.317,1436.127,35799.533,35774.832,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,33436,ASTRA 1M,PAYLOAD,U,08057A,2024-03-04 21:04:42,526272,1.00270343,0.0001476,0.0151,108.5341,297.9245,92.0064,0,999,3737,0,0.00000123,0,4208633,0 ASTRA 1M,1 33436U 08057A   24064.87826998  .00000123  00000-0  00000-0 0  9998,2 33436   0.0151 108.5341 0001476 297.9245  92.0064  1.00270343 37377,2008-057A,33436,42165.136,1436.118,35793.225,35780.778,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,41384,IRNSS 1F,PAYLOAD,U,16015A,2024-03-04 20:46:06,612384,1.00276372,0.0020343,3.3271,121.826,190.6054,194.6754,0,999,2930,0,0.00000161,0,4208633,0 IRNSS 1F,1 41384U 16015A   24064.86535431  .00000161  00000-0  00000-0 0  9992,2 41384   3.3271 121.8260 0020343 190.6054 194.6754  1.00276372 29303,2016-015A,41384,42163.446,1436.031,35871.084,35699.538,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,42915,TDRS 13,PAYLOAD,U,17047A,2024-03-04 20:33:34,737120,1.00271753,0.0014119,3.7292,342.4552,106.3236,11.1854,0,999,2398,0,-0.00000092,0,4208633,0 TDRS 13,1 42915U 17047A   24064.85665205 -.00000092  00000-0  00000-0 0  9995,2 42915   3.7292 342.4552 0014119 106.3236  11.1854  1.00271753 23986,2017-047A,42915,42164.741,1436.097,35846.138,35727.074,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,44066,S5 DEB,DEBRIS,U,19009E,2024-03-04 20:31:26,128992,0.98987557,0.0005689,4.4385,80.7533,197.4383,162.7717,0,999,1810,0,-0.00000233,0,4209183,0 S5 DEB,1 44066U 19009E   24064.85516353 -.00000233  00000-0  00000-0 0  9990,2 44066   4.4385  80.7533 0005689 197.4383 162.7717  0.98987557 18104,2019-009E,44066,42528.634,1454.728,36174.694,36126.305,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,44066,S5 DEB,DEBRIS,U,19009E,2024-03-04 20:31:26,128992,0.98987557,0.0005689,4.4385,80.7533,197.4383,162.7717,0,999,1810,0,-0.00000233,0,4209348,0 S5 DEB,1 44066U 19009E   24064.85516353 -.00000233  00000-0  00000+0 0  9999,2 44066   4.4385  80.7533 0005689 197.4383 162.7717  0.98987557 18104,2019-009E,44066,42528.634,1454.728,36174.694,36126.305,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,42749,ECHOSTAR 21,PAYLOAD,U,17032A,2024-03-04 20:14:42,438336,1.00271519,0.0002274,2.7223,317.6207,24.1604,135.2043,0,999,2474,0,0.00000071,0,4208633,0 ECHOSTAR 21,1 42749U 17032A   24064.84354674  .00000071  00000-0  00000-0 0  9994,2 42749   2.7223 317.6207 0002274  24.1604 135.2043  1.00271519 24743,2017-032A,42749,42164.807,1436.101,35796.260,35777.083,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,44457,COSMOS 2539,PAYLOAD,U,19048A,2024-03-04 20:14:42,438336,1.00270122,0.0000062,0.0153,124.7984,148.1594,205.7766,0,999,1686,0,0.00000084,0,4208633,0 COSMOS 2539,1 44457U 19048A   24064.84354674  .00000084  00000-0  00000-0 0  9995,2 44457   0.0153 124.7984 0000062 148.1594 205.7766  1.00270122 16869,2019-048A,44457,42165.198,1436.121,35787.325,35786.802,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,44307,YAMAL 601,PAYLOAD,U,19031A,2024-03-04 20:02:42,594144,1.00270821,0.0002349,0.0104,154.3918,197.6089,160.7257,0,999,1755,0,0.00000123,0,4208633,0 YAMAL 601,1 44307U 19031A   24064.83521521  .00000123  00000-0  00000-0 0  9991,2 44307   0.0104 154.3918 0002349 197.6089 160.7257  1.00270821 17551,2019-031A,44307,42165.002,1436.111,35796.772,35776.963,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,43162,SBIRS GEO 3 (USA 282),PAYLOAD,U,18009A,2024-03-04 19:51:15,333984,1.00272064,0.0001816,2.4899,331.8578,22.3951,307.2044,0,999,2247,0,0.00000134,0,4208118,0 SBIRS GEO 3 (USA 282),1 43162U 18009A   24064.82726081  .00000134  00000-0  00000+0 0  9991,2 43162   2.4899 331.8578 0001816  22.3951 307.2044  1.00272064 22470,2018-009A,43162,42164.654,1436.093,35794.176,35778.862,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,43162,SBIRS GEO 3 (USA 282),PAYLOAD,U,18009A,2024-03-04 19:51:15,333984,1.00272064,0.0001816,2.4899,331.8578,22.3951,307.2044,0,999,2247,0,0.00000134,0,4208633,0 SBIRS GEO 3 (USA 282),1 43162U 18009A   24064.82726081  .00000134  00000-0  00000-0 0  9992,2 43162   2.4899 331.8578 0001816  22.3951 307.2044  1.00272064 22470,2018-009A,43162,42164.654,1436.093,35794.176,35778.862,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,41469,IRNSS 1G,PAYLOAD,U,16027A,2024-03-04 19:30:49,776768,1.00269646,0.0005063,3.2083,123.1336,290.3648,171.7576,0,999,2881,0,-0.00000333,0,4208633,0 IRNSS 1G,1 41469U 16027A   24064.81307612 -.00000333  00000-0  00000-0 0  9994,2 41469   3.2083 123.1336 0005063 290.3648 171.7576  1.00269646 28814,2016-027A,41469,42165.332,1436.128,35808.545,35765.848,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,25967,UFO 10 (USA 146),PAYLOAD,U,99063A,2024-03-04 17:04:05,320416,1.0026838,0.0003749,9.3984,31.084,280.1434,84.7989,0,999,8898,0,-0.00000182,0,4208633,0 UFO 10 (USA 146),1 25967U 99063A   24064.71117269 -.00000182  00000-0  00000-0 0  9998,2 25967   9.3984  31.0840 0003749 280.1434  84.7989  1.00268380 88981,1999-063A,25967,42165.687,1436.146,35803.359,35771.744,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,20253,FLTSATCOM 8 (USA 46),PAYLOAD,U,89077A,2024-03-04 16:39:42,619392,1.00274329,0.0006822,12.6666,356.197,350.5596,191.9705,0,999,25225,0,-0.00000358,0,4208633,0 FLTSATCOM 8 (USA 46),1 20253U 89077A   24064.69424328 -.00000358  00000-0  00000-0 0  9994,2 20253  12.6666 356.1970 0006822 350.5596 191.9705  1.00274329252259,1989-077A,20253,42164.019,1436.060,35814.648,35757.120,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,33436,ASTRA 1M,PAYLOAD,U,08057A,2024-03-04 15:08:42,681984,1.00270278,0.0001471,0.0156,113.1254,292.8888,3.2091,0,999,5611,0,0.00000124,0,4208120,0 ASTRA 1M,1 33436U 08057A   24064.63104956  .00000124  00000-0  00000+0 0  9995,2 33436   0.0156 113.1254 0001471 292.8888   3.2091  1.00270278 56113,2008-057A,33436,42165.154,1436.118,35793.222,35780.817,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,28945,SPAINSAT,PAYLOAD,U,06007A,2024-03-04 15:08:22,765920,1.00272797,0.0003093,0.0484,251.7593,71.4199,36.7838,0,999,6584,0,-0.00000211,0,4208442,0 SPAINSAT,1 28945U 06007A   24064.63081905 -.00000211  00000-0  00000+0 0  9993,2 28945   0.0484 251.7593 0003093  71.4199  36.7838  1.00272797 65847,2006-007A,28945,42164.448,1436.082,35799.355,35773.272,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,28945,SPAINSAT,PAYLOAD,U,06007A,2024-03-04 15:08:22,765920,1.00272797,0.0003093,0.0484,251.7593,71.4199,36.7838,0,999,6584,0,-0.00000211,0,4208633,0 SPAINSAT,1 28945U 06007A   24064.63081905 -.00000211  00000-0  00000-0 0  9994,2 28945   0.0484 251.7593 0003093  71.4199  36.7838  1.00272797 65847,2006-007A,28945,42164.448,1436.082,35799.355,35773.272,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,28945,SPAINSAT,PAYLOAD,U,06007A,2024-03-04 15:08:22,854048,1.00272687,0.0003055,0.0483,249.5046,74.7776,35.6815,0,999,6585,0,-0.00000211,0,4209183,0 SPAINSAT,1 28945U 06007A   24064.63082007 -.00000211  00000-0  00000-0 0  9998,2 28945   0.0483 249.5046 0003055  74.7776  35.6815  1.00272687 65851,2006-007A,28945,42164.479,1436.084,35799.225,35773.463,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,33373,NIMIQ 4,PAYLOAD,U,08044A,2024-03-04 15:03:54,836928,1.00272241,0.0001887,0.013,135.9373,205.3642,325.5139,0,999,5661,0,-0.00000216,0,4208633,0 NIMIQ 4,1 33373U 08044A   24064.62771802 -.00000216  00000-0  00000-0 0  9994,2 33373   0.0130 135.9373 0001887 205.3642 325.5139  1.00272241 56617,2008-044A,33373,42164.604,1436.090,35794.426,35778.513,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,41937,SBIRS GEO 4 (USA 273),PAYLOAD,U,17004A,2024-03-04 14:59:46,717728,1.00271469,0.0002326,1.4554,349.7855,357.5015,303.704,0,999,2623,0,-0.00000137,0,4208633,0 SBIRS GEO 4 (USA 273),1 41937U 17004A   24064.62484627 -.00000137  00000-0  00000-0 0  9993,2 41937   1.4554 349.7855 0002326 357.5015 303.7040  1.00271469 26235,2017-004A,41937,42164.821,1436.101,35796.493,35776.878,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,29162,EUTE 113 WEST A(SATMEX 6,PAYLOAD,U,06020A,2024-03-04 14:55:08,524416,1.00274828,0.0003139,0.2077,99.3447,245.9254,288.506,0,999,6509,0,-0.00000034,0,4208341,0 EUTE 113 WEST A(SATMEX 6,1 29162U 06020A   24064.62162644 -.00000034  00000-0  00000+0 0  9992,2 29162   0.2077  99.3447 0003139 245.9254 288.5060  1.00274828 65092,2006-020A,29162,42163.879,1436.053,35798.979,35772.509,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,29162,EUTE 113 WEST A(SATMEX 6,PAYLOAD,U,06020A,2024-03-04 14:55:08,524416,1.00274828,0.0003139,0.2077,99.3447,245.9254,288.506,0,999,6510,0,-0.00000034,0,4208633,0 EUTE 113 WEST A(SATMEX 6,1 29162U 06020A   24064.62162644 -.00000034  00000-0  00000-0 0  9993,2 29162   0.2077  99.3447 0003139 245.9254 288.5060  1.00274828 65104,2006-020A,29162,42163.879,1436.053,35798.979,35772.509,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,20253,FLTSATCOM 8 (USA 46),PAYLOAD,U,89077A,2024-03-04 14:33:25,208928,1.00274374,0.0006821,12.6666,356.1976,350.5008,160.3691,0,999,25225,0,-0.00000357,0,4208022,0 FLTSATCOM 8 (USA 46),1 20253U 89077A   24064.60654177 -.00000357  00000-0  00000-0 0  9991,2 20253  12.6666 356.1976 0006821 350.5008 160.3691  1.00274374252256,1989-077A,20253,42164.006,1436.060,35814.631,35757.111,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,41469,IRNSS 1G,PAYLOAD,U,16027A,2024-03-04 14:21:28,204704,1.00269762,0.0005052,3.2078,123.1427,290.272,94.291,0,999,2881,0,-0.00000332,0,4208022,0 IRNSS 1G,1 41469U 16027A   24064.59824311 -.00000332  00000-0  00000-0 0  9998,2 41469   3.2078 123.1427 0005052 290.2720  94.2910  1.00269762 28817,2016-027A,41469,42165.299,1436.126,35808.466,35765.862,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,25001,TITAN 3C TRANSTAGE DEB,DEBRIS,U,68081H,2024-03-04 14:09:56,480256,1.01697046,0.0068682,1.0322,346.8296,39.3172,77.2878,0,999,10983,0,-0.0000028,0,4208022,0 TITAN 3C TRANSTAGE DEB,1 25001U 68081H   24064.59023704 -.00000280  00000-0  00000-0 0  9998,2 25001   1.0322 346.8296 0068682  39.3172  77.2878  1.01697046109835,1968-081H,25001,41769.853,1415.970,35678.602,35104.835,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,44307,YAMAL 601,PAYLOAD,U,19031A,2024-03-04 13:58:24,755808,1.00270741,0.0002354,0.0104,156.9564,194.5967,69.8505,0,999,1754,0,0.00000124,0,4208022,0 YAMAL 601,1 44307U 19031A   24064.58223097  .00000124  00000-0  00000-0 0  9991,2 44307   0.0104 156.9564 0002354 194.5967  69.8505  1.00270741 17548,2019-031A,44307,42165.025,1436.112,35796.815,35776.964,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,41384,IRNSS 1F,PAYLOAD,U,16015A,2024-03-04 13:53:46,561632,1.0027624,0.0020345,3.3265,121.8377,190.5498,91.3486,0,999,2929,0,0.00000162,0,4208022,0 IRNSS 1F,1 41384U 16015A   24064.57901113  .00000162  00000-0  00000-0 0  9995,2 41384   3.3265 121.8377 0020345 190.5498  91.3486  1.00276240 29295,2016-015A,41384,42163.483,1436.033,35871.130,35699.567,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,44457,COSMOS 2539,PAYLOAD,U,19048A,2024-03-04 13:47:45,661920,1.00269943,0.0000054,0.0148,125.5097,146.9652,109.2595,0,999,1685,0,0.00000085,0,4208022,0 COSMOS 2539,1 44457U 19048A   24064.57483405  .00000085  00000-0  00000-0 0  9991,2 44457   0.0148 125.5097 0000054 146.9652 109.2595  1.00269943 16855,2019-048A,44457,42165.248,1436.123,35787.341,35786.886,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,42749,ECHOSTAR 21,PAYLOAD,U,17032A,2024-03-04 13:47:23,106336,1.00271466,0.0002285,2.7227,317.6192,23.9627,38.3082,0,999,2474,0,0.00000072,0,4208022,0 ECHOSTAR 21,1 42749U 17032A   24064.57457299  .00000072  00000-0  00000-0 0  9992,2 42749   2.7227 317.6192 0002285  23.9627  38.3082  1.00271466 24741,2017-032A,42749,42164.821,1436.101,35796.321,35777.052,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,29162,EUTE 113 WEST A(SATMEX 6,PAYLOAD,U,06020A,2024-03-04 13:12:02,818368,1.00274821,0.000314,0.2076,99.3569,245.8288,262.7452,0,999,6510,0,-0.00000033,0,4208022,0 EUTE 113 WEST A(SATMEX 6,1 29162U 06020A   24064.55003262 -.00000033  00000-0  00000-0 0  9994,2 29162   0.2076  99.3569 0003140 245.8288 262.7452  1.00274821 65108,2006-020A,29162,42163.881,1436.053,35798.985,35772.506,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,43162,SBIRS GEO 3 (USA 282),PAYLOAD,U,18009A,2024-03-04 12:58:45,831072,1.00271998,0.0001814,2.4902,331.8555,21.2579,204.9384,0,999,2247,0,0.00000135,0,4208022,0 SBIRS GEO 3 (USA 282),1 43162U 18009A   24064.54080823  .00000135  00000-0  00000-0 0  9999,2 43162   2.4902 331.8555 0001814  21.2579 204.9384  1.00271998 22477,2018-009A,43162,42164.672,1436.094,35794.186,35778.889,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,33373,NIMIQ 4,PAYLOAD,U,08044A,2024-03-04 12:49:27,848640,1.00272266,0.000189,0.0128,136.2641,204.6802,292.1665,0,999,5661,0,-0.00000215,0,4208022,0 NIMIQ 4,1 33373U 08044A   24064.53435010 -.00000215  00000-0  00000-0 0  9991,2 33373   0.0128 136.2641 0001890 204.6802 292.1665  1.00272266 56610,2008-044A,33373,42164.597,1436.090,35794.431,35778.493,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,41937,SBIRS GEO 4 (USA 273),PAYLOAD,U,17004A,2024-03-04 12:39:42,575904,1.00271475,0.0002331,1.4554,349.785,358.1432,267.9496,0,999,2623,0,-0.00000137,0,4208022,0 SBIRS GEO 4 (USA 273),1 41937U 17004A   24064.52757611 -.00000137  00000-0  00000-0 0  9998,2 41937   1.4554 349.7850 0002331 358.1432 267.9496  1.00271475 26239,2017-004A,41937,42164.819,1436.101,35796.512,35776.855,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,22988,USA 99,PAYLOAD,U,94009A,2024-03-04 11:27:42,18624,1.00273054,0.000309,16.3459,36.5418,311.1023,257.0328,0,999,2459,0,-0.00000191,0,4208022,0 USA 99,1 22988U 94009A   24064.47756966 -.00000191  00000-0  00000-0 0  9999,2 22988  16.3459  36.5418 0003090 311.1023 257.0328  1.00273054 24598,1994-009A,22988,42164.376,1436.079,35799.270,35773.212,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,23712,USA 115,PAYLOAD,U,95060A,2024-03-04 11:00:16,977312,1.0027474,0.0003267,13.7623,9.769,318.3336,239.6648,0,999,2451,0,-0.00000011,0,4208022,0 USA 115,1 23712U 95060A   24064.45852983 -.00000011  00000-0  00000-0 0  9998,2 23712  13.7623   9.7690 0003267 318.3336 239.6648  1.00274740 24510,1995-060A,23712,42163.904,1436.055,35799.544,35771.994,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,8832,TITAN 3C TRANSTAGE DEB,DEBRIS,U,76023J,2024-03-04 10:42:45,978336,0.98258499,0.0137442,20.1034,53.2663,73.5184,283.7773,0,999,10939,0,-0.00000038,0,4208022,0 TITAN 3C TRANSTAGE DEB,1 08832U 76023J   24064.44636549 -.00000038  00000-0  00000-0 0  9998,2 08832  20.1034  53.2663 0137442  73.5184 283.7773  0.98258499109390,1976-023J,8832,42738.744,1465.522,36948.019,35773.199,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,44307,YAMAL 601,PAYLOAD,U,19031A,2024-03-04 10:31:59,365056,1.00270693,0.000236,0.0101,156.4753,195.034,18.1477,0,999,1754,0,0.00000125,0,4207676,0 YAMAL 601,1 44307U 19031A   24064.43888154  .00000125  00000-0  00000+0 0  9996,2 44307   0.0101 156.4753 0002360 195.0340  18.1477  1.00270693 17549,2019-031A,44307,42165.038,1436.113,35796.854,35776.952,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,42915,TDRS 13,PAYLOAD,U,17047A,2024-03-04 10:14:56,815008,1.00271825,0.0014111,3.7296,342.4461,106.2565,216.1805,0,999,2397,0,-0.00000091,0,4208022,0 TDRS 13,1 42915U 17047A   24064.42704647 -.00000091  00000-0  00000-0 0  9991,2 42915   3.7296 342.4461 0014111 106.2565 216.1805  1.00271825 23977,2017-047A,42915,42164.721,1436.096,35846.084,35727.087,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,41937,SBIRS GEO 4 (USA 273),PAYLOAD,U,17004A,2024-03-04 09:50:30,657120,1.00271511,0.000233,1.4557,349.7817,357.8128,225.8679,0,999,2623,0,-0.00000137,0,4207351,0 SBIRS GEO 4 (USA 273),1 41937U 17004A   24064.41007705 -.00000137  00000-0  00000+0 0  9997,2 41937   1.4557 349.7817 0002330 357.8128 225.8679  1.00271511 26239,2017-004A,41937,42164.809,1436.101,35796.498,35776.849,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,38699,TITAN 3C TRANSTAGE DEB,DEBRIS,U,68081Z,2024-03-04 09:19:18,488352,1.00848356,0.0099639,1.3615,338.8517,344.5735,132.5135,0,999,4345,0,-0.00000049,0,4208022,0 TITAN 3C TRANSTAGE DEB,1 38699U 68081Z   24064.38840843 -.00000049  00000-0  00000-0 0  9996,2 38699   1.3615 338.8517 0099639 344.5735 132.5135  1.00848356 43456,1968-081Z,38699,42003.869,1427.886,36044.256,35207.211,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,43454,TITAN 3C TRANSTAGE DEB,DEBRIS,U,69013M,2024-03-04 08:58:59,480256,1.02844843,0.0561172,1.4712,246.8475,212.3786,143.2698,0,999,2204,0,-0.00000132,0,4209183,0 TITAN 3C TRANSTAGE DEB,1 43454U 69013M   24064.37429954 -.00000132  00000-0  00000-0 0  9995,2 43454   1.4712 246.8475 0561172 212.3786 143.2698  1.02844843 22049,1969-013M,43454,41458.491,1400.167,37406.891,32753.822,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,44457,COSMOS 2539,PAYLOAD,U,19048A,2024-03-04 07:21:42,684192,1.00269649,0.0000042,0.0139,127.1038,130.5434,27.3119,0,999,1684,0,0.00000086,0,4207662,0 COSMOS 2539,1 44457U 19048A   24064.30674403  .00000086  00000-0  00000+0 0  9992,2 44457   0.0139 127.1038 0000042 130.5434  27.3119  1.00269649 16846,2019-048A,44457,42165.331,1436.127,35787.373,35787.019,0
